species,year,variable,units,magnitude,source,data_value,flag
Southern_Blue_Whiting,2017,Catch,Tonnes,Actual,Environmental_Accounts,22587.8,
Barracouta,2004,Catch,Tonnes,Actual,Environmental_Accounts,22459.1,
Southern_Blue_Whiting,2005,Catch,Tonnes,Actual,Environmental_Accounts,21619.6,
Barracouta,2002,Catch,Tonnes,Actual,Environmental_Accounts,21600.2,
Barracouta,2016,Catch,Tonnes,Actual,Environmental_Accounts,21511,
Southern_Blue_Whiting,2018,Catch,Tonnes,Actual,Environmental_Accounts,21045.9,
Ling,2002,Catch,Tonnes,Actual,Environmental_Accounts,19563,
Ling,2003,Catch,Tonnes,Actual,Environmental_Accounts,18907.7,
Ling,2004,Catch,Tonnes,Actual,Environmental_Accounts,18757.7,
Ling,2018,Catch,Tonnes,Actual,Environmental_Accounts,18694.2,
Arrow_Squid,2017,Catch,Tonnes,Actual,Environmental_Accounts,18462.1,
Ling,2005,Catch,Tonnes,Actual,Environmental_Accounts,17186.1,
Ling,2017,Catch,Tonnes,Actual,Environmental_Accounts,16600.6,
Arrow_Squid,2015,Catch,Tonnes,Actual,Environmental_Accounts,16310.1,
Ling,2008,Catch,Tonnes,Actual,Environmental_Accounts,16262.7,
Ling,2007,Catch,Tonnes,Actual,Environmental_Accounts,16099.3,
Ling,2014,Catch,Tonnes,Actual,Environmental_Accounts,15224.6,
Arrow_Squid,2014,Catch,Tonnes,Actual,Environmental_Accounts,15053.2,
Ling,2015,Catch,Tonnes,Actual,Environmental_Accounts,15001.9,
Ling,2016,Catch,Tonnes,Actual,Environmental_Accounts,14665.6,R
Ling,2013,Catch,Tonnes,Actual,Environmental_Accounts,14317.2,
Ling,2006,Catch,Tonnes,Actual,Environmental_Accounts,14177.8,
Ling,2009,Catch,Tonnes,Actual,Environmental_Accounts,13111.1,
Ling,2012,Catch,Tonnes,Actual,Environmental_Accounts,12954.6,
Ling,2010,Catch,Tonnes,Actual,Environmental_Accounts,12579.9,
Ling,2011,Catch,Tonnes,Actual,Environmental_Accounts,12336.7,
Oreos,2002,Catch,Tonnes,Actual,Environmental_Accounts,18720.9,
Oreos,2003,Catch,Tonnes,Actual,Environmental_Accounts,17621.3,
Oreos,2006,Catch,Tonnes,Actual,Environmental_Accounts,17475,
Oreos,2005,Catch,Tonnes,Actual,Environmental_Accounts,17220.2,
Oreos,2007,Catch,Tonnes,Actual,Environmental_Accounts,17111.8,
Oreos,2004,Catch,Tonnes,Actual,Environmental_Accounts,17104.5,
Oreos,2008,Catch,Tonnes,Actual,Environmental_Accounts,16978.6,
Oreos,2010,Catch,Tonnes,Actual,Environmental_Accounts,16792,
Oreos,2009,Catch,Tonnes,Actual,Environmental_Accounts,15877.6,
Orange_Roughy,2006,Catch,Tonnes,Actual,Environmental_Accounts,15502.2,
Orange_Roughy,2005,Catch,Tonnes,Actual,Environmental_Accounts,15368,
Orange_Roughy,2003,Catch,Tonnes,Actual,Environmental_Accounts,14670.4,
Oreos,2011,Catch,Tonnes,Actual,Environmental_Accounts,14421.7,
Orange_Roughy,2002,Catch,Tonnes,Actual,Environmental_Accounts,14379.5,
Orange_Roughy,2007,Catch,Tonnes,Actual,Environmental_Accounts,14167.1,
Orange_Roughy,2004,Catch,Tonnes,Actual,Environmental_Accounts,13414.1,
Orange_Roughy,2008,Catch,Tonnes,Actual,Environmental_Accounts,13110.4,
Oreos,2012,Catch,Tonnes,Actual,Environmental_Accounts,13087.6,
Orange_Roughy,2009,Catch,Tonnes,Actual,Environmental_Accounts,11365.9,
Oreos,2014,Catch,Tonnes,Actual,Environmental_Accounts,11250.7,
Oreos,2015,Catch,Tonnes,Actual,Environmental_Accounts,11058.8,
Oreos,2013,Catch,Tonnes,Actual,Environmental_Accounts,10977.9,
Orange_Roughy,2010,Catch,Tonnes,Actual,Environmental_Accounts,9206.5,
Oreos,2018,Catch,Tonnes,Actual,Environmental_Accounts,8783.2,
Orange_Roughy,2015,Catch,Tonnes,Actual,Environmental_Accounts,8216.4,
Oreos,2016,Catch,Tonnes,Actual,Environmental_Accounts,8111.1,
Orange_Roughy,2018,Catch,Tonnes,Actual,Environmental_Accounts,8073.4,
Oreos,2017,Catch,Tonnes,Actual,Environmental_Accounts,8019.6,
Orange_Roughy,2016,Catch,Tonnes,Actual,Environmental_Accounts,7811.1,
Orange_Roughy,2017,Catch,Tonnes,Actual,Environmental_Accounts,7619.2,
Orange_Roughy,2014,Catch,Tonnes,Actual,Environmental_Accounts,7215.3,
Orange_Roughy,2011,Catch,Tonnes,Actual,Environmental_Accounts,6423.5,
Orange_Roughy,2012,Catch,Tonnes,Actual,Environmental_Accounts,5837.9,
Orange_Roughy,2013,Catch,Tonnes,Actual,Environmental_Accounts,5323.8,
Hake,2004,Catch,Tonnes,Actual,Environmental_Accounts,13686,
Hake,2005,Catch,Tonnes,Actual,Environmental_Accounts,13376.7,
Hake,2002,Catch,Tonnes,Actual,Environmental_Accounts,11813.4,
Hake,2003,Catch,Tonnes,Actual,Environmental_Accounts,11580.6,
Hake,2007,Catch,Tonnes,Actual,Environmental_Accounts,10593.3,
Hake,2009,Catch,Tonnes,Actual,Environmental_Accounts,10225.2,
Hake,2006,Catch,Tonnes,Actual,Environmental_Accounts,9954.5,
Hake,2015,Catch,Tonnes,Actual,Environmental_Accounts,8248.4,
Hake,2013,Catch,Tonnes,Actual,Environmental_Accounts,7689.8,
Hake,2012,Catch,Tonnes,Actual,Environmental_Accounts,6567.8,
Hake,2017,Catch,Tonnes,Actual,Environmental_Accounts,6144.7,
Hake,2008,Catch,Tonnes,Actual,Environmental_Accounts,5930.3,
Hake,2011,Catch,Tonnes,Actual,Environmental_Accounts,5837.9,
Hake,2014,Catch,Tonnes,Actual,Environmental_Accounts,5692.7,
Hake,2016,Catch,Tonnes,Actual,Environmental_Accounts,4722.1,R
Hake,2010,Catch,Tonnes,Actual,Environmental_Accounts,4715.1,
Hake,2018,Catch,Tonnes,Actual,Environmental_Accounts,4704,
Spiny_Dogfish,2006,Catch,Tonnes,Actual,Environmental_Accounts,8313.2,
Spiny_Dogfish,2005,Catch,Tonnes,Actual,Environmental_Accounts,7222,
Spiny_Dogfish,2007,Catch,Tonnes,Actual,Environmental_Accounts,7183.9,
Spiny_Dogfish,2018,Catch,Tonnes,Actual,Environmental_Accounts,6512.1,
Spiny_Dogfish,2015,Catch,Tonnes,Actual,Environmental_Accounts,6318.4,
Spiny_Dogfish,2008,Catch,Tonnes,Actual,Environmental_Accounts,6293.7,
Spiny_Dogfish,2009,Catch,Tonnes,Actual,Environmental_Accounts,6219.7,
Spiny_Dogfish,2010,Catch,Tonnes,Actual,Environmental_Accounts,6166.4,
Spiny_Dogfish,2011,Catch,Tonnes,Actual,Environmental_Accounts,6076,
Spiny_Dogfish,2017,Catch,Tonnes,Actual,Environmental_Accounts,6009.9,
Spiny_Dogfish,2012,Catch,Tonnes,Actual,Environmental_Accounts,5879.5,
Spiny_Dogfish,2014,Catch,Tonnes,Actual,Environmental_Accounts,5859.3,
Spiny_Dogfish,2013,Catch,Tonnes,Actual,Environmental_Accounts,4965.1,
Spiny_Dogfish,2016,Catch,Tonnes,Actual,Environmental_Accounts,4563.5,R
