species,year,variable,units,magnitude,source,data_value,value_above,
,year,percent_of_ls,percent_of_lh,,,,,
,2009,94,99.5,,,,,
,2010,94.8,99.1,,,,,
,2011,95.1,97.1,,,,,
,2012,96.6,99.5,,,,,
,2013,96.1,99.5,,,,,
,2014,96.4,99.6,,,,,
,2015,96.8,99.6,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,90010,,,,,,
,2010,110010,,,,,,
,2011,120010,,,,,,
,2012,130010,,,,,,
,2013,130010,,,,,,
,2014,150010,,,,,,
,2015,160010,,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,21977.1,,,,,,
,2010,22226,,,,,,
,2011,22226,,,,,,
,2012,22226,,,,,,
,2013,22226,,,,,,
,2014,23192,,,,,,
,2015,23192,,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,12532,,,,,,
,2010,11062,,,,,,
,2011,8221,,,,,,
,2012,6941,,,,,,
,2013,6941,,,,,,
,2014,7841,,,,,,
,2015,8736,,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,1058.5,,,,,,
,2010,1058.5,,,,,,
,2011,1058.5,,,,,,
,2012,1058.5,,,,,,
,2013,1058.5,,,,,,
,2014,1058.5,,,,,,
,2015,1058.5,,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,3021.4,,,,,,
,2010,2802.5,,,,,,
,2011,2847.7,,,,,,
,2012,2833.1,,,,,,
,2013,2850.6,,,,,,
,2014,2895.7,,,,,,
,2015,2898.2,,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,1291,,,,,,
,2010,1291,,,,,,
,2011,1291,,,,,,
,2012,1191,,,,,,
,2013,1191,,,,,,
,2014,1224,,,,,,
,2015,1224,,,,,,
,,,,,,,,
,year,data_value,,,,,,
,2009,36948,,,,,,
,2010,41848,,,,,,
,2011,44848,,,year,total_value,,
,2012,43408,,,2009,186257,,
,2013,43408,,,2010,167869,,
,2014,43408,,,2011,175073.2,,
,2015,53208,,,2012,183328,,
,,,,,2013,183346,,
,,,,,2014,205290.3,,
,,,,,2015,216187.8,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,year,landings_from_stocks_above_hard_limit,,,year,total_value,,
,2009,94,,All species,2009,572260.1,,
,2010,94.8,,All species,2010,600652.3,,
,2011,95.1,,All species,2011,612823.5,,
,2012,96.6,,All species,2012,618364.1,,
,2013,96.1,,All species,2013,618366.6,,
,2014,96.4,,All species,2014,643193.2,,
,2015,96.8,,All species,2015,663730.5,,
,,,,,,,,
,,,,,,,,
,year,value_above,,,,,,
,2009,537924.494,,,,,,
,2010,569418.3804,,,,,,
,2011,582795.1485,,,,,,
,2012,597339.7206,,,,,,
,2013,594250.3026,,,,,,
,2014,620038.2448,,,,,,
,2015,642491.124,,,,,,
