@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {0,1,2}

@data
8911.418456,175.782018,-37.499009,1
4395.838145,174.317971,-35.185072,1
1887.201153,174.972767,-39.274488,0
8915.38282,174.625903,-38.922361,1
259.749932,170.331346,-43.160405,0
100.49515,167.928178,-44.672785,0
64475.79228,168.258736,-44.880563,2
8630.909856,172.06973,-43.253408,1
23132.58858,173.597341,-42.297216,0
291.435803,173.975779,-36.058133,0
57544.15386,167.242204,-46.242701,1
685.077638,171.324149,-42.434374,0
3482.189873,173.977597,-35.131336,0
3493.115493,175.093954,-38.260969,1
64118.81657,169.056419,-44.21126,2
65134.84337,174.087409,-41.196532,2
200.304806,176.215495,-38.401156,0
8349.120626,173.321306,-41.567918,1
12327.64082,174.747782,-39.521372,1
379.806838,175.928506,-37.870343,0
1830.543523,170.201516,-43.387143,0
7182.795558,168.801464,-44.979611,1
3219.655421,170.608004,-45.894094,0
5731.120804,169.31935,-44.176629,1
6840.040329,172.656538,-41.106955,1
1873.107038,170.250498,-45.844638,1
18841.85081,174.960026,-41.325223,1
34292.53523,168.181496,-44.760314,2
3195.585901,168.119366,-44.816882,1
7094.916432,174.818434,-41.146908,1
941.320741,174.979872,-38.072686,1
710.599218,176.296638,-39.93176,0
32787.71623,172.571301,-40.94437,2
5759.623173,175.431561,-36.208121,0
4102.527376,176.045401,-39.754815,2
4520.67917,175.44973,-40.902876,0
32435.53602,168.903288,-44.776573,2
11751.04192,171.387958,-42.265246,1
1747.25978,174.352711,-35.928459,1
14064.61602,169.026098,-45.538959,1
1310.65534,175.968814,-38.883153,0
14470.68136,168.665947,-44.464451,1
11768.40212,174.890259,-36.599845,0
12803.32642,175.526895,-40.551229,1
7858.156653,176.153181,-37.971362,1
6461.33931,172.781446,-41.836658,1
589.537909,178.100482,-38.664463,0
970.70192,175.137101,-37.662708,0
45641.02679,167.375506,-46.184771,2
4692.15523,169.810247,-44.870071,0
608.574408,167.923959,-44.671518,0
8075.612675,175.388984,-36.095533,1
57976.85323,172.36222,-41.405752,2
8877.984689,168.322133,-44.950084,1
3332.445698,170.089683,-45.57107,0
8800.802075,177.008223,-39.639904,1
2249.252265,175.897619,-38.910774,0
2849.757728,174.56917,-35.848761,1
7011.897881,171.784903,-41.733391,0
347.853214,170.029211,-43.492498,0
811.209813,170.455389,-45.920678,0
2558.600217,168.131192,-44.804848,1
5785.583899,176.286056,-39.488808,1
25306.53165,168.061376,-46.873639,2
4330.657313,168.044259,-44.894573,1
70.688113,175.547135,-36.83206,0
1216.877778,170.964872,-44.698519,0
3351.968953,174.281651,-35.253694,0
41684.30391,175.402013,-36.212791,2
4895.490784,168.923108,-45.066618,1
2294.349824,173.74911,-35.253707,1
2476.067212,173.502319,-34.989664,0
4490.586857,170.112076,-44.14603,1
20543.11825,175.04735,-41.318675,2
7792.587138,175.222478,-40.882574,0
372.077664,174.849178,-38.260527,0
4399.689845,169.161575,-44.692078,0
3647.234821,170.869203,-44.433313,1
7240.026853,168.72013,-45.062914,1
2629.400057,176.014874,-38.736196,0
11802.6525,171.545676,-42.944997,2
2104.215157,175.961235,-38.697811,0
2485.150805,170.187288,-43.393405,0
3075.526539,167.368851,-45.984107,1
8425.969103,175.80254,-40.324942,1
56862.51275,168.064625,-44.517842,2
574.409899,177.721894,-38.990582,0
31680.65758,171.692142,-43.095396,2
2252.231112,168.463712,-44.727909,1
2690.014668,171.179872,-43.983654,0
10723.18039,168.686902,-44.818458,1
2338.225179,168.030284,-44.906264,1
5060.519948,169.357478,-45.246475,0
7458.636545,172.821264,-41.827155,1
65134.84337,174.087409,-41.196532,2
7977.655449,173.572182,-41.463808,1
15536.58578,172.258608,-43.183109,1
592.948933,173.733009,-35.013562,0
432.157044,176.283287,-39.964954,0
85782.09269,167.88232,-46.957926,2
859.172062,174.900665,-38.260264,0
609.422979,171.018026,-42.955987,0
89.895016,175.571237,-36.989997,0
3425.299664,169.997663,-43.490873,1
11352.3479,175.715266,-38.709368,1
955.570483,170.668048,-45.639454,0
552.552702,168.126725,-44.695017,0
3217.853171,178.040014,-38.640642,1
15962.11912,176.246676,-37.800157,1
265.195776,174.205583,-36.101686,0
2280.081638,175.82144,-39.151577,0
3420.027343,169.146338,-45.077094,0
6626.440976,170.93277,-42.783596,1
74534.37081,175.844804,-37.648575,2
1131.947017,176.298653,-37.949059,0
2443.805508,177.796562,-38.981836,1
4206.429489,169.585198,-44.217976,1
4310.939605,168.103373,-44.701088,1
29384.06784,171.656449,-42.931492,2
2829.035645,175.912385,-37.892557,0
16597.71381,168.588517,-43.999231,1
892.519195,171.348145,-42.553648,0
622.142677,167.63541,-45.866411,0
1183.018317,176.857532,-39.431491,0
62923.73138,172.491736,-42.391936,2
3107.470063,170.959645,-44.666907,0
225.475259,171.192469,-42.647555,0
18213.47197,170.624913,-43.653471,1
1162.419368,176.456091,-38.248426,0
8787.832964,175.841868,-37.506957,1
4191.582229,176.007524,-39.897251,1
3027.133188,176.883435,-39.481932,0
1524.476394,173.302923,-42.864929,1
4525.194931,173.71706,-35.20065,1
62747.805,167.081145,-45.674902,2
21858.26064,169.072869,-44.722126,2
7946.474761,172.831571,-41.844048,1
15279.22086,175.388671,-36.192375,1
70247.81711,175.62808,-39.290129,2
1532.179283,167.536451,-45.775989,0
15962.11912,176.246676,-37.800157,0
45151.34487,171.344016,-42.949539,2
587.950289,168.66641,-44.983279,0
2165.982885,176.726126,-38.669068,0
9030.798372,174.796649,-38.414508,1
732.428721,-176.572908,-43.761778,0
8606.679683,168.125902,-44.661294,1
1256.537599,173.532676,-35.608515,0
27068.09638,169.812219,-44.029851,1
1100.994072,169.211242,-44.673502,0
3579.641885,169.970114,-43.446986,0
742.12362,170.64844,-45.755952,1
1004.34956,177.959861,-38.596339,0
64823.67753,172.542632,-42.278661,2
4608.746253,175.393707,-36.182334,1
7930.135037,172.697672,-40.839063,1
46258.31634,175.351379,-40.983707,2
514.51369,174.11677,-35.254812,0
432.05117,174.11984,-35.243857,0
4269.919687,172.678059,-34.445827,0
3619.967098,168.073669,-44.830172,1
3539.196513,175.25778,-38.070711,1
13195.61637,177.136749,-38.730047,1
14964.48335,168.850456,-46.059176,0
1306.951378,174.045518,-35.191977,0
6546.7839,170.087253,-43.719166,1
2474.314319,175.637194,-40.725553,1
587.172263,174.134748,-35.892819,0
3322.526724,174.1196,-41.08683,2
465.34858,173.084357,-34.72311,0
9472.036487,173.384294,-35.565968,1
3432.070434,175.771202,-37.317907,0
4399.801591,175.736485,-37.427996,0
208.282912,173.380355,-34.967306,0
2847.839102,168.547065,-45.055855,0
12591.30799,175.454245,-36.158891,0
20367.52221,174.041496,-41.368748,1
4499.005844,175.854721,-37.503661,1
2709.911463,168.389411,-44.775691,0
2038.63973,169.683398,-44.412967,1
832.271382,175.123615,-38.26222,0
50184.49056,175.059448,-39.207301,2
672.52097,175.66148,-38.648026,0
891.939606,174.283623,-35.587617,0
1945.604475,174.85517,-36.807931,0
11431.99364,175.384587,-39.375137,1
20104.45271,168.816888,-44.437913,1
26806.8167,175.078202,-37.95829,1
2396.203775,178.326936,-38.382781,1
53855.50795,167.78562,-44.813536,2
2298.781026,175.078562,-37.773522,0
11708.9933,170.163001,-43.821644,1
744.428672,174.273644,-41.095483,0
3408.967142,-176.555991,-43.852168,0
2529.837539,174.715042,-36.307139,1
92893.99727,174.093759,-39.272137,2
8241.54867,170.039213,-45.918746,1
4036.884872,174.193144,-35.221681,1
84653.26536,168.46721,-44.693572,2
42616.78164,171.247095,-42.947594,2
2123.484631,173.738291,-35.21557,0
22119.96399,175.933437,-38.685913,1
274.102216,169.410963,-44.935836,0
8407.944413,169.450396,-44.90708,1
1252.186524,175.90823,-40.081266,0
1093.080581,173.958973,-35.220341,0
19096.69508,175.581001,-39.144497,1
16480.86178,169.636091,-44.185669,1
1693.526664,174.043296,-39.103996,0
8045.104635,175.486059,-40.856753,1
2966.500096,167.48035,-45.74513,1
631.219432,175.10037,-39.913177,0
3406.462739,175.549911,-39.072149,1
704.500823,172.401476,-42.379524,0
1313.942264,174.936643,-41.345646,0
12865.57732,174.082699,-39.327664,1
6753.046451,170.329615,-44.206423,1
3039.152668,171.49161,-43.317707,1
1591.144955,176.69384,-38.672906,1
10106.14908,169.127172,-45.083619,1
590.252202,170.024125,-43.484636,0
2784.630441,168.57986,-45.063077,0
10767.32762,172.079779,-43.240606,1
8559.994843,175.746021,-37.418859,0
4875.397827,167.983534,-45.141192,1
7433.465484,174.74854,-38.430299,1
7163.281,170.423406,-43.0411,1
7085.177978,175.13364,-37.975785,1
11762.16636,173.692537,-41.425915,1
957.953172,176.550367,-38.044985,0
2575.691201,170.170762,-43.43359,1
5643.699667,177.596603,-38.239478,1
22504.97753,171.378207,-42.289944,1
34534.85086,172.784208,-41.853425,2
16551.33118,176.077568,-39.939897,2
9829.441473,174.118033,-35.868631,1
1112.902843,170.588759,-45.757727,0
13638.73984,173.864391,-41.349568,1
15212.89282,170.644062,-43.77832,1
